Names,links,Image,Description
Who is Rekha Gupta? Delhi's next chief minister,https://timesofindia.indiatimes.com/india/who-is-rekha-gupta-delhis-next-chief-minister/articleshow/118391683.cms,https://static.toiimg.com/photo/83033472.cms,Vastu Tips to attract peace at home
"BJP names Rekha Gupta Delhi chief minister, oath ceremony set for Thursday at Ramlila Maidan",https://timesofindia.indiatimes.com/india/bjp-names-rekha-gupta-delhi-chief-minister-oath-ceremony-set-for-thursday-at-ramlila-maidan/articleshow/118383493.cms,https://static.toiimg.com/photo/83033472.cms,Zodiac Signs who are fond of the limelight
TOI Videos,https://timesofindia.indiatimes.com/videos,,Planet Parade 2025: Last Chance to Witness Seven Planet Alignment until 2040
04:32'Typhoons To Storm Ukraine Skies': Britain To Replace Troops With Jets As Russia Threatens NATO,https://timesofindia.indiatimes.com/videos/international/typhoons-to-storm-ukraine-skies-britain-to-replace-troops-with-jets-as-russia-threatens-nato/videoshow/118392636.cms,https://static.toiimg.com/photo/83033472.cms,
04:32'Typhoons To Storm Ukraine Skies': Britain To Replace Troops With Jets As Russia Threatens NATO,https://timesofindia.indiatimes.com/videos/international/typhoons-to-storm-ukraine-skies-britain-to-replace-troops-with-jets-as-russia-threatens-nato/videoshow/118392636.cms,https://static.toiimg.com/photo/83033472.cms,US News
"06:21'You Have Succumbed To Putin...': Trump's Words Sting Zelensky, Angry Ukraine Leader Hits Back",https://timesofindia.indiatimes.com/videos/international/you-have-succumbed-to-putin-trumps-words-sting-zelensky-angry-ukraine-leader-hits-back/videoshow/118392412.cms,https://static.toiimg.com/photo/83033472.cms,Kamala Harris signs with Hollywood agency that works with Biden. Here's what it does
03:42Erdogan’s Big Move To Make Turkey Terror Free; '282 Arrested From 51 Provinces' | Details,https://timesofindia.indiatimes.com/videos/international/erdogans-big-move-to-make-turkey-terror-free-282-arrested-from-51-provinces-details/videoshow/118384320.cms,https://static.toiimg.com/photo/83033472.cms,Delta plane crash-landing at Toronto airport: Viral posts claim all pilots were female. What is the truth?
03:38Pro-Palestine Group 'Exposes' Israeli Soldiers in Europe; IDF Issues Advisory | Netanyahu Embarrassed,https://timesofindia.indiatimes.com/videos/international/pro-palestine-group-exposes-israeli-soldiers-in-europe-idf-issues-advisory-netanyahu-embarrassed/videoshow/118382211.cms,https://static.toiimg.com/photo/83033472.cms,"'You like Bobby, right': Did Donald Trump interrupt Elon Musk during joint interview?"
03:21Drake’s Sydney Penthouse Invaded By Spy Drone; Rapper’s Fiery Reaction With Yeezy Slides,https://timesofindia.indiatimes.com/videos/entertainment/english/drakes-sydney-penthouse-invaded-by-spy-drone-rappers-fiery-reaction-with-yeezy-slides/videoshow/118386269.cms,https://static.toiimg.com/photo/83033472.cms,Why Trump's bullying is going to backfire
03:10‘Why Are We Paying?’: Trump Defends DOGE’s Scrapping Of India Voter Turnout 'Fraud' Fund,https://timesofindia.indiatimes.com/videos/international/why-are-we-paying-trump-defends-doges-scrapping-of-india-voter-turnout-fraud-fund/videoshow/118382396.cms,https://static.toiimg.com/photo/83033472.cms,"What is DOGE dividend? Will all Americans get a refund check of $5,000 from Elon Musk?"
City,https://timesofindia.indiatimes.com/city,,"Columbine survivor Anne Marie Hochhalter, who forgave gunman's mother, dies at 43"
,javascript: void(0),,"Trump purge: Thousands of federal workers fired, programs frozen, and grants halted"
British tourist dies while trekking near Dharamshala,https://timesofindia.indiatimes.com/city/chandigarh/uk-tourist-injured-while-trekking-in-dhauladhars-dies/articleshow/118367128.cms,https://static.toiimg.com/photo/83033472.cms,'Dictator without elections': Donald Trump ups attack on Ukraine's Zelenskyy
4 of UP family get life for killing woman who objected to them flying pigeons,https://timesofindia.indiatimes.com/city/agra/4-of-family-get-life-for-killingwoman-over-pigeons-flight/articleshow/118361695.cms,,Trump asks $21m question on top of familiar tantrum on India's tariff
"17-year-old TN girl gang-raped by college students, 7 arrested",https://timesofindia.indiatimes.com/city/coimbatore/girl-gang-raped-by-college-students-in-coimbatore-seven-arrested/articleshow/118359712.cms,,
NDLS stampede: How safe are Delhi’s three other stations,https://timesofindia.indiatimes.com/city/delhi/how-safe-are-delhis-three-other-stations/articleshow/118365246.cms,,Business
"Devendra Fadnavis govt readies state budget, looks to offset populism with cost cuts",https://timesofindia.indiatimes.com/city/mumbai/govt-readies-budget-looks-to-offset-populism-with-cost-cuts/articleshow/118366098.cms,,What is LIC Smart Pension Plan? Top 10 FAQs answered on new retirement planning scheme
"BJP sweeps Gujarat local body polls, Congress tally improves marginally",https://timesofindia.indiatimes.com/city/ahmedabad/bjp-sweeps-gujarat-local-body-polls-congress-tally-improves-marginally/articleshow/118374534.cms,,PM Modi US visit: 1+1 = 11 - US and India teaming to create a MEGA partnership
"6.5 lakh euros swindled: CBI busts cybercrime network targeting German nationals, one held from Delhi",https://timesofindia.indiatimes.com/city/delhi/6-5-lakh-euros-swindled-cbi-busts-cybercrime-network-targeting-german-nationals-one-held/articleshow/118365558.cms,,"New Income Tax Bill 2025: For common man, better understanding of law and smoother tax compliances expected"
No leniency to convict for ‘digital rape’ of 2-year-old: Delhi court,https://timesofindia.indiatimes.com/city/delhi/no-leniency-to-convict-for-digital-rape-of-2-yr-old-girl-delhi-court/articleshow/118361376.cms,,Infosys average bonus drops to 80% for Q3 ahead of annual salary hikes
3 trains in 45 mins and a rush: RPF officers prevent potential tragedy as overcrowding grips Ghaziabad railway station,https://timesofindia.indiatimes.com/city/noida/3-trains-in-45-mins-a-rush-how-crowd-and-panic-spread-in-ghaziabad-rail-station/articleshow/118366922.cms,,"Stock market today: BSE Sensex ends marginally lower; Nifty50 below 22,950"
Class II student sexually assaulted by safai worker at west Delhi school,https://timesofindia.indiatimes.com/city/delhi/class-ii-student-sexually-assaulted-by-safai-worker-at-west-delhi-school/articleshow/118375208.cms,,Govt to launch e-licences for pilots; India to be second country to do so for flight crew
Sports,https://timesofindia.indiatimes.com/sports,,Tesla India entry: Why Donald Trump has said it would be ‘very unfair’ for Elon Musk’s Tesla to set up a factory in India
Dominant NZ crush Pakistan in Champions Trophy opener,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/dominant-new-zealand-crush-pakistan-by-60-runs-in-champions-trophy-opener/articleshow/118395263.cms,https://static.toiimg.com/photo/83033472.cms,Boost for ‘Make in India’! iPhone parts maker looks at supply chain shifts toward India
"'When I was playing, I made sure ... ': MS Dhoni",https://timesofindia.indiatimes.com/sports/cricket/news/when-i-was-playing-i-made-sure-ms-dhoni/articleshow/118395662.cms,,'More of white noise': Why Trump’s reciprocal tariffs on India’s exports to US will have a ‘limited’ impact
"Gill very classy player, his numbers are crazy: Rohit ",https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/shubman-gill-very-classy-player-his-numbers-are-crazy-rohit-sharma/articleshow/118393001.cms,,Axis Bank
'You have to be at your best from game one': Virat Kohli on CT,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/you-have-to-be-at-your-best-from-game-one-virat-kohli-on-champions-trophy/articleshow/118389923.cms,,Provident Fund
"Picked only two spinners, rest are all-rounders: Rohit",https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/picked-only-two-spinners-rest-are-all-rounders-says-rohit-sharma-on-indias-squad-for-champions-trophy/articleshow/118391592.cms,,Income Tax Slabs
"Lanning, Sutherland guide DC to seven-wicket win over UP ",https://timesofindia.indiatimes.com/sports/cricket/wpl/lanning-sutherland-guide-delhi-capitals-to-seven-wicket-win-over-up-warriorz-in-wpl/articleshow/118395286.cms,,GST
"04:02Mohammad Amir Exclusive: Champions Trophy hopes, India's absence & retirement talk",https://timesofindia.indiatimes.com/videos/sports/cricket/mohammad-amir-exclusive-champions-trophy-hopes-indias-absence-retirement-talk/videoshow/118364891.cms,https://static.toiimg.com/photo/83033472.cms,Fixed Deposit rates
01:03Behind the scenes of ISPL 2025 final as Majhi Mumbai crowned champion!,https://timesofindia.indiatimes.com/videos/sports/cricket/behind-the-scenes-of-ispl-2025-final-as-majhi-mumbai-crowned-champion/videoshow/118357450.cms,https://static.toiimg.com/photo/83033472.cms,
"India's spin puzzle: Why Axar, Jadeja are irreplaceable in Champions Trophy plans",https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/indias-spin-puzzle-why-axar-jadeja-are-irreplaceable-in-champions-trophy-plans/articleshow/118394436.cms,https://static.toiimg.com/photo/83033472.cms,Recipes
Dubai pitch curator shares what India can expect in Champions Trophy,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/dubai-pitch-curator-shares-what-india-can-expect-in-champions-trophy/articleshow/118393288.cms,https://static.toiimg.com/photo/83033472.cms,
Gill dethrones Babar to claim No. 1 spot in ICC ODI rankings,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/shubman-gill-dethrones-babar-azam-to-claim-no-1-spot-in-icc-odi-rankings/articleshow/118383377.cms,https://static.toiimg.com/photo/83033472.cms,Lifestyle
'India ko sabak sikhana chahiye': Says ex-Pak spinner Saqlain,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/india-ko-sabak-sikhana-chahiye-says-former-pakistan-spinner-saqlain-mushtaq/articleshow/118379786.cms,https://static.toiimg.com/photo/83033472.cms,Style
"Bangladesh can beat anyone at Champions Trophy, says Shanto",https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/bangladesh-can-beat-anyone-at-champions-trophy-says-skipper-najmul-hossain-shanto/articleshow/118387600.cms,https://static.toiimg.com/photo/83033472.cms,Karisma-Kareena steal the show at Aadar Jain's Mehendi
"Champions Trophy looks to enthral fans, add more relevance to ODIs",https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/champions-trophy-looks-to-enthral-fans-add-more-relevance-to-odi-cricket/articleshow/118372266.cms,https://static.toiimg.com/photo/83033472.cms,Bollywood choli designs that are perfect for weddings
Australia's CT quest: Can they overcome key absences?,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/australias-champions-trophy-quest-can-they-overcome-key-absences/articleshow/118378512.cms,https://static.toiimg.com/photo/83033472.cms,Health & Fitness
Champions Trophy: Take a look at jerseys of 8 teams,https://timesofindia.indiatimes.com/sports/cricket/icc-champions-trophy-2025/champions-trophy-take-a-look-at-the-team-jerseys/articleshow/118371146.cms,https://static.toiimg.com/photo/83033472.cms,Can depression speed up aging? Scientists warn of a 30% higher health risk
Journo Taylor,https://timesofindia.indiatimes.com/sports/nba/top-stories/sports-journo-taylor-rooks-impesses-nba-all-star-fans-with-dreamy-game-day-look/articleshow/118367763.cms,,Chlorinated drinking water may raise risk of several kinds of cancer: Study
Patrick Mahomes,https://timesofindia.indiatimes.com/sports/nfl/news/patrick-mahomes-faces-another-heartbreaking-tragedy-after-super-bowl-2025-loss-adding-to-his-struggles/articleshow/118367690.cms,,Relationship
Simone Biles,https://timesofindia.indiatimes.com/sports/nfl/news/things-get-wild-literally-on-simone-biles-and-jonathan-owens-honeymoon-trip-to-south-africa/articleshow/118367610.cms,,Rihanna and A$AP Rocky’s fairytale love story
Kevin Durant,https://timesofindia.indiatimes.com/sports/nba/top-stories/stephen-a-smith-blasts-kevin-durants-fun-to-complain-comments-about-nba-all-star-games/articleshow/118367613.cms,,10 reasons why your boss doesn't value your opinion
Hailee Steinfeld,https://timesofindia.indiatimes.com/sports/nfl/news/hailee-steinfelds-thoughtful-gesture-toward-buffalo-bills-fans-has-everyone-talking-after-the-nfl-honors-ceremony/articleshow/118367491.cms,,Food
Trending,https://timesofindia.indiatimes.com/etimes/trending,,​3 effortless ways to set restaurant-style curd​
"Blood moon 2025: When, where, and how to watch the moon turning red during March's total lunar eclipse",https://timesofindia.indiatimes.com/etimes/trending/blood-moon-2025-when-where-and-how-to-watch-the-moon-turning-red-during-marchs-total-lunar-eclipse/articleshow/118395295.cms,https://static.toiimg.com/photo/83033472.cms,How to make Dhaba-style Champaran Chicken Handi at home
Man poisons his girlfriends' dog by mistake; know all about the shocking mix up,https://timesofindia.indiatimes.com/etimes/trending/man-poisons-his-girlfriends-dog-by-mistake-know-all-about-the-shocking-mix-up/articleshow/118394356.cms,https://static.toiimg.com/photo/83033472.cms,Beauty
The educational journey of Delhi's new CM Rekha Gupta and her lesser-known details,https://timesofindia.indiatimes.com/etimes/trending/the-educational-journey-of-delhis-new-cm-rekha-gupta-and-her-lesser-known-details/articleshow/118394269.cms,https://static.toiimg.com/photo/83033472.cms,Orange for hair growth: How to use Orange Juice for hair growth
Do fish have fashion sense? Wild fish can identify humans by outfit colours,https://timesofindia.indiatimes.com/etimes/trending/do-fish-have-fashion-sense-wild-fish-can-identify-humans-by-outfit-colours/articleshow/118394268.cms,https://static.toiimg.com/photo/83033472.cms,7 effective ways to get rid of strawberry legs
Venomous snake hiding in box of bananas shocks grocery worker; here's what happened next,https://timesofindia.indiatimes.com/etimes/trending/venomous-snake-hiding-in-box-of-bananas-shocks-grocery-worker-heres-what-happened-next/articleshow/118390368.cms,https://static.toiimg.com/photo/83033472.cms,Parenting
Could asteroid 2024 YR4 hit Indian cities? NASA raises alarm over potential impact zones,https://timesofindia.indiatimes.com/etimes/trending/could-asteroid-2024-yr4-hit-indian-cities-nasa-raises-alarm-over-potential-impact-zones/articleshow/118390940.cms,https://static.toiimg.com/photo/83033472.cms,“Anant has fought obesity throughout his life…” Nita Ambani’s emotional speech about son's struggle with health
Visual Stories,https://timesofindia.indiatimes.com/etimes/web-stories,,10 things parents should never do in the morning before sending kids to school
How to make South Indian Paneer Butter Masala Dosa for breakfastFood,https://recipes.timesofindia.com/web-stories/how-to-make-south-indian-paneer-butter-masala-dosa-for-breakfast/photostory/118374740.cms,https://static.toiimg.com/photo/87458172.cms,Books
​10 ancient animals that still existLifestyle,https://timesofindia.indiatimes.com/life-style/spotlight/web-stories/10-ancient-animals-that-still-exist-today/photostory/118323962.cms,https://static.toiimg.com/photo/87458172.cms,10 timeless lines from Mirza Ghalib's shayaris
10 exotic animals to spot inside Kashmir's Dachigam National ParkTravel,https://timesofindia.indiatimes.com/travel/web-stories/10-exotic-animals-to-spot-inside-kashmirs-dachigam-national-park/photostory/118348257.cms,https://static.toiimg.com/photo/87458172.cms,8 books that help magically improve relationships and love issues
10 powerful ways to detox and reset your mindLifestyle,https://timesofindia.indiatimes.com/life-style/relationships/web-stories/10-powerful-ways-to-detox-and-reset-your-mind/photostory/118346633.cms,https://static.toiimg.com/photo/87458172.cms,Videos
10 things parents should never do in the morning before sending kids to schoolLifestyle,https://timesofindia.indiatimes.com/life-style/parenting/web-stories/10-things-parents-should-never-do-in-the-morning-before-sending-kids-to-school/photostory/118364332.cms,https://static.toiimg.com/photo/87458172.cms,"Control Your Senses, Gain Knowledge, Attain Peace: Bhagavad Gita, Chapter 4.39"
10 health benefits of chewing cloves dailyLifestyle,https://timesofindia.indiatimes.com/life-style/health-fitness/web-stories/10-health-benefits-of-chewing-cloves-daily/photostory/118346644.cms,https://static.toiimg.com/photo/87458172.cms,Cultural Clashes in Love: How To Make Your Relationship Work
8 animal species that are found only in IndiaTravel,https://timesofindia.indiatimes.com/travel/web-stories/8-animal-species-that-are-found-only-in-india/photostory/118317483.cms,https://static.toiimg.com/photo/87458172.cms,More
10 birds that eat meat and other animalsLifestyle,https://timesofindia.indiatimes.com/life-style/spotlight/web-stories/10-birds-that-eat-meat-and-other-animals/photostory/118355606.cms,https://static.toiimg.com/photo/87458172.cms,8 reasons why the Peace Lily is a complete blessing for a home
Astrology,https://timesofindia.indiatimes.com/astrology,,6 most famous Monet paintings that take us into nature's beauty
6Zodiac Signs Who Are Curious About Gossip,https://timesofindia.indiatimes.com/astrology/web-stories/zodiac-signs-who-are-curious-about-gossip/photostory/118390602.cms,https://static.toiimg.com/photo/83033472.cms,Nita Ambani
6 Benefits of Keeping Kamdhenu Cow Statue at home,https://timesofindia.indiatimes.com/astrology/vastu-feng-shui/6-benefits-of-keeping-kamdhenu-cow-statue-at-home/articleshow/118376322.cms,,Anti Valentine Week 2025
"Horoscope Tomorrow, February 20, 2025: Your zodiac insights await",https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-tomorrow-february-20-2025-your-zodiac-insights-await/articleshow/118355016.cms,,Deepak Gupta
"Daily Muhurat Update (February 19, 2025): Tithi, Festivals, Auspicious Yogas, Rahu Kaal for Los Angeles",https://timesofindia.indiatimes.com/astrology/panchang/daily-muhurat-update-february-19-2025-tithi-festivals-auspicious-yogas-rahu-kaal-for-los-angeles/articleshow/118365211.cms,,Mahashivratri 2025
"Daily Muhurat Update (February 19, 2025): Tithi, Festivals, Auspicious Yogas, Rahu Kaal for New York City",https://timesofindia.indiatimes.com/astrology/panchang/daily-muhurat-update-february-19-2025-tithi-festivals-auspicious-yogas-rahu-kaal-for-new-york-city/articleshow/118365193.cms,,Office Peacocking Signs
"Love & Dating Horoscope for February 19, 2025",https://timesofindia.indiatimes.com/astrology/horoscope/love-dating-horoscope-for-february-19-2025/articleshow/118361458.cms,,
Zodiac signs who are likely to get a promotion in 2025,https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/zodiac-signs-who-are-likely-to-get-a-promotion-in-2025/articleshow/118367152.cms,,NRI
Vastu Tips to attract peace at home,https://timesofindia.indiatimes.com/astrology/vastu-feng-shui/vastu-tips-to-attract-peace-at-home/articleshow/118375919.cms,,'India belongs to England': UK man racially abuses Indian-origin woman on train; see video
Zodiac Signs who are fond of the limelight,https://timesofindia.indiatimes.com/astrology/zodiacs-astrology/zodiac-signs-who-are-fond-of-the-limelight/photostory/118384812.cms,,Indian-origin man sentenced for killing 2 teens in New York crash
Planet Parade 2025: Last Chance to Witness Seven Planet Alignment until 2040,https://timesofindia.indiatimes.com/astrology/planets-transits/planet-parade-2025-last-chance-to-witness-seven-planet-alignment-until-2040/articleshow/118383175.cms,,"Now, Australia cracks down on Indian students breaking rules on work"
These Zodiac Signs Can be a Social Media Influencer,https://timesofindia.indiatimes.com/astrology/web-stories/these-zodiac-signs-can-be-a-social-media-influencer/photostory/118375210.cms,https://static.toiimg.com/photo/83033472.cms,Elon Musk's DOGE member who wanted to 'normalize Indian hate' resigns after racist posts resurface
"Horoscope Today: Astrological Predictions for February 19, 2025",https://timesofindia.indiatimes.com/astrology/horoscope/horoscope-today-astrological-predictions-for-february-19-2025/articleshow/118364896.cms,https://static.toiimg.com/photo/83033472.cms,"'Saw one die, another drown': Indians deported from US recall ‘donkey’ route ordeal"
Spring clean your home the Vastu way: Refresh energy and enhance positivity,https://timesofindia.indiatimes.com/astrology/vastu-feng-shui/spring-clean-your-home-the-vastu-way-refresh-energy-and-enhance-positivity/articleshow/118367062.cms,https://static.toiimg.com/photo/83033472.cms,Singapore: Indian-origin opposition leader found guilty of giving false testimony
"Tarot Card Reading for All Zodiac Signs: Predictions for February 19, 2025",https://timesofindia.indiatimes.com/astrology/numerology-tarot/tarot-card-reading-for-all-zodiac-signs-predictions-for-february-19-2025/articleshow/118361419.cms,https://static.toiimg.com/photo/83033472.cms,Worried about your immigration status? Get advice from experts in US immigration laws
US News,https://timesofindia.indiatimes.com/world/us,,Sikh advocacy group in US working to ensure due legal process for asylum seekers from India
George Clooney's surprising message for Donald Trump: '...because our country needs it',https://timesofindia.indiatimes.com/world/us/george-clooneys-surprising-message-for-donald-trump-because-our-country-needs-it/articleshow/118394977.cms,https://static.toiimg.com/photo/83033472.cms,Sikh leader Sukhi Chahal congratulates Tulsi Gabbard on US Senate confirmation as director of national intelligence
Kamala Harris signs with Hollywood agency that works with Biden. Here's what it does,https://timesofindia.indiatimes.com/world/us/kamala-harris-signs-with-hollywood-agency-that-works-with-biden-heres-what-it-does/articleshow/118393793.cms,,
Delta plane crash-landing at Toronto airport: Viral posts claim all pilots were female. What is the truth?,https://timesofindia.indiatimes.com/world/us/delta-plane-crash-at-toronto-airport-viral-posts-claim-all-pilots-were-female-what-is-the-truth/articleshow/118392846.cms,,Tech
"'You like Bobby, right': Did Donald Trump interrupt Elon Musk during joint interview?",https://timesofindia.indiatimes.com/world/us/you-like-bobby-right-did-donald-trump-interrupt-elon-musk-during-joint-interview/articleshow/118391717.cms,,Garena Free Fire Max Codes
Why Trump's bullying is going to backfire,https://timesofindia.indiatimes.com/world/us/why-trumps-bullying-is-going-to-backfire/articleshow/118391132.cms,,Wordle Today
"What is DOGE dividend? Will all Americans get a refund check of $5,000 from Elon Musk?",https://timesofindia.indiatimes.com/world/us/what-is-doge-dividend-will-all-americans-get-a-refund-check-of-5000-from-elon-musk/articleshow/118389968.cms,,NYT Connections
"Columbine survivor Anne Marie Hochhalter, who forgave gunman's mother, dies at 43",https://timesofindia.indiatimes.com/world/us/columbine-survivor-anne-marie-hochhalter-who-forgave-gunmans-mother-dies-at-43/articleshow/118394541.cms,,NYT Strands
"Trump purge: Thousands of federal workers fired, programs frozen, and grants halted",https://timesofindia.indiatimes.com/world/us/trump-purge-thousands-of-federal-workers-fired-programs-frozen-and-grants-halted/articleshow/118392295.cms,,Mini Crossword
'Dictator without elections': Donald Trump ups attack on Ukraine's Zelenskyy,https://timesofindia.indiatimes.com/world/us/dictator-without-elections-donald-trump-ups-attack-on-ukraines-zelenskyy/articleshow/118394111.cms,,
Trump asks $21m question on top of familiar tantrum on India's tariff,https://timesofindia.indiatimes.com/world/us/trump-asks-21m-question-on-top-of-familiar-tantrum-on-indias-tariff/articleshow/118393970.cms,,
Business,https://timesofindia.indiatimes.com/business,,
"Smallcap stocks mark strong comeback after heavy losses, is it revival or bull trap?",https://timesofindia.indiatimes.com/business/india-business/smallcap-stocks-mark-strong-comeback-after-heavy-losses-is-it-revival-or-bull-trap/articleshow/118393194.cms,https://static.toiimg.com/photo/83033472.cms,
What is LIC Smart Pension Plan? Top 10 FAQs answered on new retirement planning scheme,https://timesofindia.indiatimes.com/business/india-business/what-is-lic-smart-pension-plan-top-10-faqs-answered-on-new-retirement-planning-scheme/articleshow/118379118.cms,,
PM Modi US visit: 1+1 = 11 - US and India teaming to create a MEGA partnership,https://timesofindia.indiatimes.com/business/india-business/pm-modi-us-visit-11-11-us-and-india-teaming-to-create-a-mega-partnership/articleshow/118378817.cms,,
"New Income Tax Bill 2025: For common man, better understanding of law and smoother tax compliances expected",https://timesofindia.indiatimes.com/business/india-business/new-income-tax-bill-2025-for-common-man-better-understanding-of-law-and-smoother-tax-compliances-expected/articleshow/118377911.cms,,
